Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4jaxbEGk3Jgu45VdK8FOkS,"Big Hammer","Playing Robots Into Heaven","James Blake",2023-09-08,240742,31,11146410335,2025-01-25T13:59:51Z,"","Republic Records / Polydor Records",0.938,0.546,1,-9.106,1,0.309,0.326,0.178,0.0798,0.208,139.982,4
4Zts9erRexAxILn5XjSwUN,"Futile Devices","The Age of Adz","Sufjan Stevens",2010-10-12,133266,57,11146410335,2025-01-25T13:59:51Z,"kamarapop,barokk pop","Asthmatic Kitty",0.581,0.286,4,-18.645,1,0.0339,0.993,0.908,0.0896,0.369,140.188,4
547bn3lGXPAhrymq0PLGAc,"Sinking Ship","Expectations","Wild Child",2018-02-09,247493,50,11146410335,2025-01-25T13:59:51Z,"folk-pop","Dualtone Music Group",0.514,0.174,4,-19.316,0,0.0351,0.95,0.00284,0.11,0.188,92.734,4
5Qnrgqy1pAm9GyNQOgyVFz,"Fourth of July","Carrie & Lowell","Sufjan Stevens",2015-03-31,279316,77,11146410335,2025-01-25T13:59:51Z,"kamarapop,barokk pop","Asthmatic Kitty",0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4
08wnOyN1wyMaNrup3m353f,"My Tears Are Becoming a Sea","Hurry up, We're Dreaming","M83",2011-10-17,151826,64,11146410335,2025-01-25T13:59:51Z,"indietronica","M83 Recording Inc",0.162,0.353,8,-11.286,0,0.0509,0.0993,0.274,0.575,0.0551,110.76,1
3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,11146410335,2025-01-25T13:59:51Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
6hUTzxvNiJ1c0lYqgoOTBW,"Motel 6","Kindness, A Rebel","River Whyless",2018-06-08,195126,65,11146410335,2025-01-25T13:59:51Z,"folk-pop","Roll Call Records",0.493,0.444,4,-8.951,1,0.0333,0.299,0.00101,0.0995,0.13,168.127,3
0GQW2gDyxgT5IsNEM4osbJ,"Loading","Playing Robots Into Heaven","James Blake",2023-09-08,284551,41,11146410335,2025-01-25T13:59:51Z,"","Republic Records / Polydor Records",0.683,0.544,1,-8.614,0,0.0357,0.0881,0.129,0.1,0.0734,131.993,4
5ClxASTE4QhsysP7qSwHIp,"Bordal","Szépek voltak egyszer","egy5egy,Szaffi",2022-10-17,238229,23,11146410335,2025-01-25T13:59:51Z,"","egy5egy",0.642,0.483,1,-5.194,0,0.0284,0.13,0,0.276,0.297,123.016,4
5CU1bbfY1wUPm7fU255Dhf,"King of Carrot Flowers Pt. 1","In the Aeroplane Over the Sea","Neutral Milk Hotel",1998-02-20,120426,57,11146410335,2025-01-25T13:59:51Z,"kamarapop,folk-punk","Merge Records",0.407,0.519,5,-6.47,1,0.0336,0.11,0.889,0.409,0.342,94.001,4
0eVz3hV2xOXdneGpnWDFpb,"Sugar for the Pill","Slowdive","Slowdive",2017-05-05,270918,58,11146410335,2025-01-25T13:59:51Z,"shoegaze,dream pop,slowcore","Dead Oceans",0.534,0.536,7,-7.682,1,0.0244,0.209,0.835,0.113,0.427,98.018,4
6xvNUl7fwPgKbcLXLKHflT,"Youngblood","Youngblood","Angus & Julia Stone",2018-11-02,232746,45,11146410335,2025-01-25T13:59:51Z,"","[PIAS] Le Label",0.668,0.661,7,-8.598,0,0.0405,0.79,0.239,0.0884,0.364,123.974,4
456WNXWhDwYOSf5SpTuqxd,"Dog Days Are Over","Lungs (Deluxe Version)","Florence + The Machine",2009,252818,79,11146410335,2025-01-25T13:59:51Z,"barokk pop","Universal-Island Records Ltd.",0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,4
3vybpXzMgBMsK9Nd2Ce7qh,"Since You Asked Kindly","III","BADBADNOTGOOD",2014-05-05,281475,31,11146410335,2025-01-25T13:59:51Z,"","Innovative Leisure",0.469,0.816,4,-8.566,0,0.0376,0.0256,0.868,0.0999,0.202,130.594,4
37pKTyMwalomKCZjxTc2QZ,"Cherry-coloured Funk","Heaven or Las Vegas","Cocteau Twins",1990-09-17,192466,67,11146410335,2025-01-25T13:59:51Z,"shoegaze,dream pop,posztpunk","4AD",0.49,0.652,2,-5.813,1,0.0274,0.00196,0.0000624,0.0991,0.339,90.085,4
04CwADpo37TwnwqQLskoo5,"Border Line","6 Feet Beneath the Moon","King Krule",2013-08-24,185853,46,11146410335,2025-01-25T13:59:51Z,"","XL Recordings",0.642,0.549,11,-8.303,0,0.0996,0.522,0.000116,0.0764,0.35,99.906,4
1rL6TtfgBWSUhcXVZkrM26,"Some","Steve Lacy's Demo","Steve Lacy",2017-02-24,180695,52,11146410335,2025-01-25T13:59:51Z,"","Three Quarter",0.511,0.665,4,-7.474,0,0.0639,0.0243,0.0546,0.0758,0.103,103.584,4
1NoxZc2x2Y7eX1U5wHj6hr,"Asking To Break","Playing Robots Into Heaven","James Blake",2023-09-08,172844,41,11146410335,2025-01-25T13:59:51Z,"","Republic Records / Polydor Records",0.569,0.566,4,-10.456,0,0.0276,0.698,0.783,0.107,0.142,138.046,4
3sslYZcFKtUvIEWN9lADgr,"First Love/Late Spring","Bury Me At Makeout Creek","Mitski",2014-11-11,278640,75,11146410335,2025-01-25T13:59:51Z,"","Dead Oceans",0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,4
6XrTwqp0vMc2Z3m4ttoyRe,"Michelle","Party Favors","Sir Chloe",2020-10-23,214087,68,11146410335,2025-01-25T13:59:51Z,"","Terrible Records",0.366,0.439,4,-5.238,1,0.0298,0.0781,0.0000192,0.108,0.11,115.94,3
1RRBuxXdsIB0yazqGDlKTj,"Baby Blue","6 Feet Beneath the Moon","King Krule",2013-08-24,215506,49,11146410335,2025-01-25T13:59:51Z,"","XL Recordings",0.461,0.331,3,-11.03,1,0.0359,0.613,0.00104,0.129,0.0899,102.488,4
2aq3xWbTmHt8fJhrLiYnMb,"I'll Haunt You","Swimmer","Tennis",2020-02-14,152392,34,11146410335,2025-01-25T13:59:51Z,"","Mutually Detrimental",0.486,0.268,4,-11.122,1,0.0333,0.735,0.0008,0.123,0.134,72.47,4
3zksbXteOCeSusJ5Xltr3t,"Bubble Gum","Bubble Gum","Clairo",2019-02-22,175960,74,11146410335,2025-01-25T13:59:51Z,"bedroom pop","Independent",0.509,0.0167,9,-24.639,1,0.115,0.979,0.0000272,0.387,0.229,207.97,3
1Y2583xYzwiEXDetAB7H1Q,"Sex with a Ghost","Sock-Footed","Teddy Hyde",2018-04-02,240229,62,11146410335,2025-01-25T13:59:51Z,"","Teddy Hyde and Many Hats Distribution",0.48,0.329,11,-12.487,0,0.0329,0.874,0.00165,0.244,0.385,80.375,4
4WI0iKq8iHKZMQw0ZxH652,"Disco Dangerous","Slugs of Love","Little Dragon",2023-07-07,166125,33,11146410335,2025-01-25T13:59:51Z,"trip hop","Ninja Tune",0.778,0.362,0,-8.717,1,0.0572,0.0867,0.0401,0.0771,0.333,118.012,4
36TbBJ7mLPOZMAYs0p4mxb,"Mary","Trick","Alex G",2012-11-05,197733,70,11146410335,2025-01-25T13:59:51Z,"","Lucky Number",0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.955,4
1Oe6yPVl5KgB14ZLssTvJq,"Rulett","Rulett","OHNODY",2023-02-17,195000,17,11146410335,2025-01-25T13:59:51Z,"","Théque Records",0.761,0.45,7,-13.414,1,0.27,0.406,0.543,0.111,0.43,131.956,4
6pj9JkwBA6VzYdLXvaJkPh,"September - Instrumental","September","Sparky Deathcap",2009,189680,63,11146410335,2025-01-25T13:59:51Z,"","RCA Records Label",0.683,0.349,8,-12.014,1,0.035,0.957,0.806,0.0755,0.555,139.84,3
6AAYNz8jXvVlgG9IpYi42Z,"Hunnybee","Sex & Food","Unknown Mortal Orchestra",2018-04-06,268333,57,11146410335,2025-01-25T13:59:51Z,"pszichedelikus pop","Jagjaguwar",0.956,0.377,6,-7.965,1,0.0804,0.566,0.414,0.313,0.566,119.993,4
69BSm4vFLLo4L8nUulybMc,"at least i'm pretty","at least i'm pretty","Harriette",2021-04-19,106800,51,11146410335,2025-01-25T13:59:51Z,"bedroom pop","Harriette",0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,0.139,0.523,99.958,4
7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,87,11146410335,2025-01-25T13:59:51Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
6qopJBPesEVIrIT0qMtbNs,"Heavy Bend","Dragon New Warm Mountain I Believe In You","Big Thief",2022-02-11,96553,46,11146410335,2025-01-25T13:59:51Z,"","4AD",0.682,0.345,1,-9.403,1,0.074,0.863,0.00000334,0.1,0.485,133.263,4
51HJa6fSnNTRcOMTpXmemw,"Black Water","Creep On Creepin' On","Timber Timbre",2011-04-05,359826,29,11146410335,2025-01-25T13:59:51Z,"","Arts & Crafts Productions Inc.",0.57,0.311,2,-7.975,0,0.0273,0.635,0.0138,0.497,0.507,141.823,4
50kgovuPE9wDZ0hEynlssm,"I Should Go - Solo Version","I Should Go (Solo Version)","James Vincent McMorrow",2020-10-07,151178,46,11146410335,2025-01-25T13:59:51Z,"","Columbia",0.707,0.339,6,-10.373,0,0.0492,0.894,0,0.114,0.303,132.029,4
3WOZcIibmurJult4Z7Wfce,"Spin Me Around","CINEMA","The Marías",2021-06-25,146973,57,11146410335,2025-01-25T13:59:51Z,"bedroom pop","Nice Life/Atlantic",0.582,0.342,1,-12.249,0,0.0391,0.442,0.34,0.103,0.327,76.475,4
4NgherJDfCXWBZBYheM4jK,"WASTE","DISORDER","KXLLSWXTCH",2021-10-29,120428,75,11146410335,2025-01-25T13:59:51Z,"dark trap","KILL! / EMPIRE",0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,4
